,Month,New York,Manhattan,Percentage
0,April,18331,3540,0.19311548742567236
1,August,19678,2844,0.14452688281329404
2,December,19214,2634,0.13708754033517226
3,February,15985,3195,0.19987488270253362
4,January,18101,3178,0.17557041047455943
5,July,19867,3055,0.15377258770825994
6,June,19433,2956,0.15211238614727526
7,March,18471,3479,0.18834930431487196
8,May,20052,3432,0.17115499700777978
9,November,19315,2838,0.14693243593062386
10,October,19666,2831,0.14395403234007934
11,September,19492,2744,0.14077570285245228
